day,project,stars
2021-10-31,MarquezProject/marquez,822
2021-11-01,MarquezProject/marquez,822
2021-11-01,MarquezProject/marquez,822
2021-11-01,MarquezProject/marquez,822
2021-11-02,MarquezProject/marquez,822
2021-11-02,MarquezProject/marquez,824
2021-11-03,MarquezProject/marquez,825
2021-11-02,MarquezProject/marquez,825
2021-11-02,MarquezProject/marquez,823
2021-11-04,MarquezProject/marquez,825
2021-11-03,MarquezProject/marquez,825
2021-11-03,MarquezProject/marquez,825
2021-11-03,MarquezProject/marquez,825
2021-11-04,MarquezProject/marquez,827
2021-11-04,MarquezProject/marquez,827
2021-11-04,MarquezProject/marquez,827
2021-11-05,MarquezProject/marquez,827
2021-11-05,MarquezProject/marquez,827
2021-11-05,MarquezProject/marquez,827
2021-11-05,MarquezProject/marquez,827
2021-11-05,MarquezProject/marquez,827
2021-11-06,MarquezProject/marquez,827
2021-11-06,MarquezProject/marquez,827
2021-11-07,MarquezProject/marquez,827
2021-11-06,MarquezProject/marquez,827
2021-11-06,MarquezProject/marquez,827
2021-11-07,MarquezProject/marquez,827
2021-10-06,OpenLineage/openlineage,511
2021-09-14,OpenLineage/openlineage,476
2021-09-15,OpenLineage/openlineage,479
2021-09-16,OpenLineage/openlineage,482
2021-09-19,OpenLineage/openlineage,485
2021-09-20,OpenLineage/openlineage,487
2021-09-20,OpenLineage/openlineage,488
2021-09-21,OpenLineage/openlineage,490
2021-09-22,OpenLineage/openlineage,492
2021-09-22,OpenLineage/openlineage,493
2021-09-27,OpenLineage/openlineage,499
2021-09-30,OpenLineage/openlineage,503
2021-10-04,OpenLineage/openlineage,506
2021-10-04,OpenLineage/openlineage,507
2021-10-08,OpenLineage/openlineage,514
2021-10-12,OpenLineage/openlineage,520
2021-10-13,OpenLineage/openlineage,523
2021-10-13,OpenLineage/openlineage,522
2021-10-14,OpenLineage/openlineage,524
2021-10-14,OpenLineage/openlineage,525
2021-10-07,OpenLineage/openlineage,512
2021-10-06,OpenLineage/openlineage,512
2021-10-07,OpenLineage/openlineage,512
2021-10-07,OpenLineage/openlineage,512
2021-10-07,OpenLineage/openlineage,512
2021-10-07,OpenLineage/openlineage,513
2021-10-08,OpenLineage/openlineage,513
2021-10-08,OpenLineage/openlineage,513
2021-10-08,OpenLineage/openlineage,513
2021-10-08,OpenLineage/openlineage,513
2021-10-08,OpenLineage/openlineage,513
2021-10-10,OpenLineage/openlineage,515
2021-10-08,OpenLineage/openlineage,515
2021-10-09,OpenLineage/openlineage,515
2021-10-09,OpenLineage/openlineage,515
2021-10-09,OpenLineage/openlineage,515
2021-10-09,OpenLineage/openlineage,515
2021-10-10,OpenLineage/openlineage,515
2021-10-11,OpenLineage/openlineage,516
2021-10-10,OpenLineage/openlineage,516
2021-10-10,OpenLineage/openlineage,516
2021-10-11,OpenLineage/openlineage,517
2021-10-11,OpenLineage/openlineage,517
2021-10-11,OpenLineage/openlineage,518
2021-10-12,OpenLineage/openlineage,518
2021-10-12,OpenLineage/openlineage,518
2021-10-12,OpenLineage/openlineage,521
2021-10-13,OpenLineage/openlineage,521
2021-10-13,OpenLineage/openlineage,521
2021-10-15,OpenLineage/openlineage,526
2021-10-15,OpenLineage/openlineage,526
2021-10-14,OpenLineage/openlineage,526
2021-10-15,OpenLineage/openlineage,526
2021-10-16,OpenLineage/openlineage,527
2021-10-15,OpenLineage/openlineage,527
2021-10-15,OpenLineage/openlineage,527
2021-10-16,OpenLineage/openlineage,527
2021-10-16,OpenLineage/openlineage,528
2021-10-17,OpenLineage/openlineage,528
2021-10-16,OpenLineage/openlineage,528
2021-10-17,OpenLineage/openlineage,528
2021-10-17,OpenLineage/openlineage,528
2021-10-18,OpenLineage/openlineage,529
2021-10-17,OpenLineage/openlineage,529
2021-10-18,OpenLineage/openlineage,530
2021-10-18,OpenLineage/openlineage,530
2021-10-19,OpenLineage/openlineage,531
2021-10-18,OpenLineage/openlineage,531
2021-10-19,OpenLineage/openlineage,531
2021-10-19,OpenLineage/openlineage,533
